id,scene,category,name,x,y,z,quest_names,quest_roles,container_id,active_self,active_in_hierarchy,juice_flavour,juice_number,object_name,hierarchy,component_type,component_path_id,source_file,notes
level6:193733,Autumn,Quest pickup,plate-enamel (2),-800.432007,3.108486,-190.727005,Crockery Collection!,pickup,,True,True,,,plate-enamel (2),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (2),CollectableQuestItem,193733,level6,
level6:193743,Autumn,Quest pickup,plate-enamel (7),-784.549988,3.2148,-185.990005,Crockery Collection!,pickup,,True,True,,,plate-enamel (7),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (7),CollectableQuestItem,193743,level6,
level6:193776,Autumn,Quest pickup,plate-enamel (3),-791.789978,3.2148,-188.539993,Crockery Collection!,pickup,,True,True,,,plate-enamel (3),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (3),CollectableQuestItem,193776,level6,
level6:193807,Autumn,NPC,Frog,-317.080505,0.610888,88.748871,,,,False,False,,,Frog,Environment/Manmade/Residential/Misc Manmade Areas/Drifting Tractors/~People~/Frog,NpcBase,193807,level6,
level6:193858,Autumn,Quest pickup,plate-enamel (4),-792.440002,3.2148,-188.979996,Crockery Collection!,pickup,,True,True,,,plate-enamel (4),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (4),CollectableQuestItem,193858,level6,
level6:193868,Autumn,Quest pickup,plates-deep-stack-summer-camp (2),-800.312927,3.05,-191.218002,Crockery Collection!,pickup,,True,True,,,plates-deep-stack-summer-camp (2),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plates-deep-stack-summer-camp (2),CollectableQuestItem,193868,level6,
level6:193879,Autumn,Chest,SM_Prop_Chest_Wood_01 (5),-699.844971,2.163,-237.522003,,,,True,True,,,SM_Prop_Chest_Wood_01 (5),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (5),ChestOpen,193879,level6,
level6:193884,Autumn,Chest,SM_Prop_Chest_Wood_01 (24),-687.5,4.49,234.160004,,,,True,True,,,SM_Prop_Chest_Wood_01 (24),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (24),ChestOpen,193884,level6,
level6:193923,Autumn,Quest pickup,can-beans,-799.914612,3.069001,-193.150101,Crockery Collection!,pickup,,True,True,,,can-beans,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/can-beans,CollectableQuestItem,193923,level6,
level6:193926,Autumn,Chest,SM_Prop_Chest_Wood_01 (39),-355.412506,147.884537,-146.9944,,,,True,True,,,SM_Prop_Chest_Wood_01 (39),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (39),ChestOpen,193926,level6,
level6:194004,Autumn,Quest pickup,cup-small (1),-793.649475,3.16,-189.473007,Crockery Collection!,pickup,,True,True,,,cup-small (1),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/cup-small (1),CollectableQuestItem,194004,level6,
level6:194013,Autumn,Chest,SM_Prop_Chest_Wood_01 (37),-83.699997,3.110926,452.85434,,,level6:202503,False,False,,,SM_Prop_Chest_Wood_01 (37),Environment/MISC/Suitcase/Full/suitcase-big (5)/Container OBJ/SM_Prop_Chest_Wood_01 (37),ChestOpen,194013,level6,
level6:194176,Autumn,Chest,SM_Prop_Chest_Wood_01 (4),-862.070007,64.921997,-182.690002,,,,True,True,,,SM_Prop_Chest_Wood_01 (4),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (4),ChestOpen,194176,level6,
level6:194216,Autumn,Chest,SM_Prop_Chest_Wood_01 (38),-549.033997,3.947,-306.459991,,,,True,True,,,SM_Prop_Chest_Wood_01 (38),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (38),ChestOpen,194216,level6,
level6:194292,Autumn,Chest,SM_Prop_Chest_Wood_01 (41),-639.419983,59.933998,478.320007,,,,True,True,,,SM_Prop_Chest_Wood_01 (41),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (41),ChestOpen,194292,level6,
level6:194298,Autumn,Chest,SM_Prop_Chest_Wood_01 (9),-267.399994,6.948,139.076004,,,,True,True,,,SM_Prop_Chest_Wood_01 (9),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (9),ChestOpen,194298,level6,
level6:194346,Autumn,Quest pickup,cup-small (6),-786.609985,3.168,-187.244003,Crockery Collection!,pickup,,True,True,,,cup-small (6),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/cup-small (6),CollectableQuestItem,194346,level6,
level6:194348,Autumn,Chest,SM_Prop_Chest_Wood_01 (14),-34.719002,3.482,79.490997,,,,True,True,,,SM_Prop_Chest_Wood_01 (14),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (14),ChestOpen,194348,level6,
level6:194384,Autumn,Chest,SM_Prop_Chest_Wood_01 (23),-700.973999,17.899,79.468002,,,,True,True,,,SM_Prop_Chest_Wood_01 (23),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (23),ChestOpen,194384,level6,
level6:194391,Autumn,Quest pickup,cup-small (4),-789.338013,3.158,-188.977005,Crockery Collection!,pickup,,True,True,,,cup-small (4),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/cup-small (4),CollectableQuestItem,194391,level6,
level6:194401,Autumn,Chest,SM_Prop_Chest_Wood_01 (7),-648.950012,179.360001,-116.360001,,,,True,True,,,SM_Prop_Chest_Wood_01 (7),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (7),ChestOpen,194401,level6,
level6:194416,Autumn,NPC,Drifter1,-259.955147,4.079366,479.167029,,,,False,False,,,Drifter1,Environment/Manmade/Residential/Misc Manmade Areas/Drifting Tractors/~LargeStuff~/Spinner/tractor (5)/Drifter1,NpcBase,194416,level6,
level6:194431,Autumn,Chest,SM_Prop_Chest_Wood_01 (28),-534.731995,76.404999,556.547974,,,,True,True,,,SM_Prop_Chest_Wood_01 (28),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (28),ChestOpen,194431,level6,
level6:194439,Autumn,Chest,SM_Prop_Chest_Wood_01 (36),-589.893005,138.893005,206.585007,,,,True,True,,,SM_Prop_Chest_Wood_01 (36),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (36),ChestOpen,194439,level6,
level6:194462,Autumn,Chest,SM_Prop_Chest_Wood_01 (37),-442.713989,3.797,-345.300995,,,,True,True,,,SM_Prop_Chest_Wood_01 (37),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (37),ChestOpen,194462,level6,
level6:194496,Autumn,Chest,SM_Prop_Chest_Wood_01 (2),-450.32901,29.249001,125.684998,,,,True,True,,,SM_Prop_Chest_Wood_01 (2),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (2),ChestOpen,194496,level6,
level6:194498,Autumn,Chest,SM_Prop_Chest_Wood_01 (34),-526.25,199.460007,-351.720001,,,,True,True,,,SM_Prop_Chest_Wood_01 (34),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (34),ChestOpen,194498,level6,
level6:194510,Autumn,Chest,SM_Prop_Chest_Wood_01 (2),-342.494965,8.912,69.788406,,,,True,True,,,SM_Prop_Chest_Wood_01 (2),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (2),ChestOpen,194510,level6,
level6:194611,Autumn,Chest,SM_Prop_Chest_Wood_01 (6),-221.229996,5.067,-290.690002,,,,True,True,,,SM_Prop_Chest_Wood_01 (6),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (6),ChestOpen,194611,level6,
level6:194617,Autumn,NPC,Drifter1,-247.585023,4.079366,495.18124,,,,False,False,,,Drifter1,Environment/Manmade/Residential/Misc Manmade Areas/Drifting Tractors/~LargeStuff~/Spinner/tractor (6)/Drifter1,NpcBase,194617,level6,
level6:194721,Autumn,Quest pickup,cup-small (3),-791.500977,3.167,-188.977005,Crockery Collection!,pickup,,True,True,,,cup-small (3),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/cup-small (3),CollectableQuestItem,194721,level6,
level6:194760,Autumn,Quest pickup,plates-deep-stack-summer-camp,-800.312927,3.039,-189.468018,Crockery Collection!,pickup,,True,True,,,plates-deep-stack-summer-camp,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plates-deep-stack-summer-camp,CollectableQuestItem,194760,level6,
level6:194798,Autumn,Quest pickup,banana-peel,-799.810669,3.063,-190.677994,Crockery Collection!,pickup,,True,True,,,banana-peel,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/banana-peel,CollectableQuestItem,194798,level6,
level6:194800,Autumn,Chest,SM_Prop_Chest_Wood_01 (33),-133.660004,106.220001,-100.959999,,,,True,True,,,SM_Prop_Chest_Wood_01 (33),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (33),ChestOpen,194800,level6,
level6:194857,Autumn,Chest,SM_Prop_Chest_Wood_01 (29),-795.145996,75.441002,525.934998,,,,True,True,,,SM_Prop_Chest_Wood_01 (29),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (29),ChestOpen,194857,level6,
level6:194874,Autumn,Quest pickup,can-beans-box,-790.219971,3.136,-188.241089,Crockery Collection!,pickup,,True,True,,,can-beans-box,Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/can-beans-box,CollectableQuestItem,194874,level6,
level6:194896,Autumn,NPC,Frog Climbing,-305.973495,0.757887,97.447868,,,,False,False,,,Frog Climbing,Environment/Manmade/Residential/Misc Manmade Areas/Drifting Tractors/~People~/Frog Climbing,NpcBase,194896,level6,
level6:195001,Autumn,Quest pickup,plate-enamel (9),-785.590027,3.2148,-185.960007,Crockery Collection!,pickup,,True,True,,,plate-enamel (9),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (9),CollectableQuestItem,195001,level6,
level6:195092,Autumn,Quest pickup,can-beans (1),-800.133789,3.069,-192.75885,Crockery Collection!,pickup,,True,True,,,can-beans (1),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/can-beans (1),CollectableQuestItem,195092,level6,
level6:195123,Autumn,NPC,Tony,-136.747177,20.152599,72.907822,,,,False,False,,,AssertiveFrog,Frog Folder/AssertiveFrog,NpcBase,195123,level6,
level6:195258,Autumn,Chest,SM_Prop_Chest_Wood_01 (30),-585.547974,122.545998,465.56601,,,,True,True,,,SM_Prop_Chest_Wood_01 (30),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (30),ChestOpen,195258,level6,
level6:195267,Autumn,Chest,SM_Prop_Chest_Wood_01 (26),-483.752014,11.191,202.751999,,,,True,True,,,SM_Prop_Chest_Wood_01 (26),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (26),ChestOpen,195267,level6,
level6:195334,Autumn,Chest,SM_Prop_Chest_Wood_01 (42),-628.219971,59.933998,476.880005,,,,True,True,,,SM_Prop_Chest_Wood_01 (42),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (42),ChestOpen,195334,level6,
level6:195349,Autumn,Chest,SM_Prop_Chest_Wood_01 (8),-298.303894,0.508,68.738075,,,,True,True,,,SM_Prop_Chest_Wood_01 (8),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (8),ChestOpen,195349,level6,
level6:195372,Autumn,Chest,SM_Prop_Chest_Wood_01 (10),-354.028992,1.774,250.397995,,,,True,True,,,SM_Prop_Chest_Wood_01 (10),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (10),ChestOpen,195372,level6,
level6:195404,Autumn,Quest pickup,plate-enamel (6),-789.01001,3.2148,-187.960007,Crockery Collection!,pickup,,True,True,,,plate-enamel (6),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (6),CollectableQuestItem,195404,level6,
level6:195421,Autumn,NPC,BriefCaseFrog,-334.815186,1.4742,204.728641,,,,False,False,,,BriefCaseFrog,Frog Folder/Misc/Storage Facility/Old Frog/BriefCaseFrog,NpcBase,195421,level6,
level6:195441,Autumn,Chest,SM_Prop_Chest_Wood_01 (40),-453.230011,0.344,-55.130001,,,,True,True,,,SM_Prop_Chest_Wood_01 (40),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (40),ChestOpen,195441,level6,
level6:195455,Autumn,NPC,StorageFrogLean,-320.152771,1.599,204.873429,,,,False,False,,,StorageFrogLean,Frog Folder/Misc/Storage Facility/Old Frog/StorageFrogLean,NpcBase,195455,level6,
level6:195548,Autumn,Chest,SM_Prop_Chest_Wood_01 (1),-660.26001,-0.051,-35.84,,,,True,True,,,SM_Prop_Chest_Wood_01 (1),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (1),ChestOpen,195548,level6,
level6:195594,Autumn,Chest,SM_Prop_Chest_Wood_01 (21),-858.463013,13.892,-36.280998,,,,True,True,,,SM_Prop_Chest_Wood_01 (21),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (21),ChestOpen,195594,level6,
level6:195701,Autumn,Chest,SM_Prop_Chest_Wood_01 (27),-522.97998,75.540001,422.359985,,,,True,True,,,SM_Prop_Chest_Wood_01 (27),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (27),ChestOpen,195701,level6,
level6:195705,Autumn,Chest,SM_Prop_Chest_Wood_01 (13),2.98,2.1,242.929993,,,,True,True,,,SM_Prop_Chest_Wood_01 (13),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (13),ChestOpen,195705,level6,
level6:195710,Autumn,Chest,SM_Prop_Chest_Wood_01 (17),-100.699997,1.03,-316.200012,,,,True,True,,,SM_Prop_Chest_Wood_01 (17),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (17),ChestOpen,195710,level6,
level6:195720,Autumn,NPC,BuffFrog,-333.863121,3.73384,107.018536,,,,True,False,,,BuffFrog,Environment/Manmade/Residential/Misc Manmade Areas/Drifting Tractors/~LargeStuff~/StrongFrog/BuffFrog,NpcBase,195720,level6,
level6:195778,Autumn,Chest,SM_Prop_Chest_Wood_01 (31),-142.970993,136.281006,369.747009,,,,True,True,,,SM_Prop_Chest_Wood_01 (31),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (31),ChestOpen,195778,level6,
level6:195806,Autumn,Chest,SM_Prop_Chest_Wood_01 (15),-118.670998,10.838,-95.813004,,,,True,True,,,SM_Prop_Chest_Wood_01 (15),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (15),ChestOpen,195806,level6,
level6:195807,Autumn,Quest pickup,cup-small (2),-791.500977,3.158,-190.171631,Crockery Collection!,pickup,,True,True,,,cup-small (2),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/cup-small (2),CollectableQuestItem,195807,level6,
level6:195814,Autumn,Quest pickup,plate-enamel (1),-799.950928,3.108486,-190.403,Crockery Collection!,pickup,,True,True,,,plate-enamel (1),Environment/Manmade/Residential/Large Camps/Kids Camp/Table Collection/Holder/plate-enamel (1),CollectableQuestItem,195814,level6,
level6:195946,Autumn,Chest,SM_Prop_Chest_Wood_01 (3),-871.285645,49.963001,-92.514908,,,,True,True,,,SM_Prop_Chest_Wood_01 (3),Environment/MISC/Chests/SM_Prop_Chest_Wood_01 (3),ChestOpen,195946,level6,
level6:196772,Autumn,NPC,SCRAM,-349.140015,23.750999,269.73999,,,,True,True,,,TravellingFrog,UI/Mini Games/TravelingFrogController/TravellingFrog,NpcBase,196772,level6,Travelling NPC variant 1; the game activates variants in sequence.
level6:197104,Autumn,Mushroom,CollectableMushroom_30 (1),-248.62172,8.569453,-145.819104,,,,False,False,,,CollectableMushroom_30 (1),Environment/MISC/Shrines/RewardShrine (2)/Reward/CollectableMushroom_30 (1),CollectableMushroom,197104,level6,
level6:197105,Autumn,Mushroom,CollectableMushroom_30 (1),-92.288794,7.62208,-28.439464,,,,False,False,,,CollectableMushroom_30 (1),Environment/MISC/Shrines/RewardShrine (1)/Reward/CollectableMushroom_30 (1),CollectableMushroom,197105,level6,
level6:197106,Autumn,Mushroom,CollectableMushroom_30 (1),-595.436318,6.796537,-186.675124,,,,False,False,,,CollectableMushroom_30 (1),Environment/MISC/Shrines/RewardShrine (3)/Reward/CollectableMushroom_30 (1),CollectableMushroom,197106,level6,
level6:197107,Autumn,Mushroom,CollectableMushroom_30 (1),-498.973865,67.922218,480.375242,,,,False,False,,,CollectableMushroom_30 (1),Environment/MISC/Shrines/RewardShrine (4)/Reward/CollectableMushroom_30 (1),CollectableMushroom,197107,level6,
level6:197382,Autumn,NPC,Vendor,-231.24336,1.047392,-95.507374,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (1)/Climbing Club Member,NpcBase,197382,level6,
level6:197385,Autumn,NPC,Vendor,-767.875672,16.687,45.943738,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (9)/Climbing Club Member,NpcBase,197385,level6,
level6:197386,Autumn,NPC,Vendor,-397.659639,0.222999,-208.284228,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (6)/Climbing Club Member,NpcBase,197386,level6,
level6:197389,Autumn,NPC,Vendor,-664.60106,0.278999,-211.428285,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 14/Climbing Club Member,NpcBase,197389,level6,
level6:197391,Autumn,NPC,Vendor,-365.717195,1.654999,-74.840586,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 12/Climbing Club Member,NpcBase,197391,level6,
level6:197392,Autumn,NPC,Vendor,-564.409849,0.325026,179.880401,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (5)/Climbing Club Member,NpcBase,197392,level6,
level6:197394,Autumn,NPC,Vendor,-229.049172,1.982999,162.363162,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (2)/Climbing Club Member,NpcBase,197394,level6,
level6:197397,Autumn,NPC,Vendor,-837.074805,59.983001,415.208497,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (10)/Climbing Club Member,NpcBase,197397,level6,
level6:197399,Autumn,NPC,Vendor,-809.431828,0.886999,181.380539,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 16/Climbing Club Member,NpcBase,197399,level6,
level6:197400,Autumn,NPC,Vendor,-282.026816,18.566199,348.024358,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (7)/Climbing Club Member,NpcBase,197400,level6,
level6:197402,Autumn,NPC,Vendor,-290.212878,0.262999,83.886052,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (3)/Climbing Club Member,NpcBase,197402,level6,
level6:197405,Autumn,NPC,Vendor,-602.776927,0.142999,271.732316,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 17/Climbing Club Member,NpcBase,197405,level6,
level6:197407,Autumn,NPC,Vendor,-363.623451,1.214999,210.003989,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 18/Climbing Club Member,NpcBase,197407,level6,
level6:197409,Autumn,NPC,Vendor,-771.345399,0.294999,-275.290098,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (8)/Climbing Club Member,NpcBase,197409,level6,
level6:197410,Autumn,NPC,Vendor,-497.752846,2.275799,-380.374936,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 13/Climbing Club Member,NpcBase,197410,level6,
level6:197412,Autumn,NPC,Vendor,-736.690406,0.206999,-56.346621,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/New Climbing Stalls/Climbing Building 15/Climbing Club Member,NpcBase,197412,level6,
level6:197414,Autumn,NPC,Vendor,-130.262906,5.636999,327.638732,,,,True,True,,,Climbing Club Member,Static Scene Items/Static Game Objects (1)/ManMade Objects/Climbing Stalls/Climbing Building (4)/Climbing Club Member,NpcBase,197414,level6,
